ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
533,5-hydroxytryptamine receptor 2C,HTR2C,338028,M81778,P28335,5HT2C_HUMAN,6BQG; 6BQH; 8DPF; 8DPG; 8DPH; 8DPI; 8ZMF,HTR2C,HTR2C,HGNC:5295,Humans,DB00193; DB00246; DB00247; DB00334; DB00370; DB00434; DB00477; DB00502; DB00574; DB00589; DB00656; DB00714; DB00805; DB01049; DB01149; DB01239; DB01242; DB01267; DB01454; DB01537; DB04871; DB06144; DB06594; DB09014; DB09185; DB09194; DB09195; DB11273; DB12110; DB13025; DB13345
534,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,3025446,AC004528,O60391,NMD3B_HUMAN,,GRIN3B,GRIN3B,HGNC:16768,Humans,DB00193; DB00333; DB00659; DB01043; DB01069; DB01173; DB01520; DB11823
535,Carbonic anhydrase 4,CA4,179791,M83670,P22748,CAH4_HUMAN,1ZNC; 3F7B; 3F7U; 3FW3; 5IPZ; 5JN8; 5JN9; 5JNA; 5JNC; 5KU6,CA4,CA4,HGNC:1375,Humans,DB00273; DB00311; DB00562; DB00606; DB00703; DB00819; DB00869; DB01144; DB08329; DB08846
538,Fibrinogen alpha chain,FGA,13591824,AF361104,P02671,FIBA_HUMAN,1BBR; 1DM4; 1FPH; 1FZA; 1FZB; 1FZC; 1FZD; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 1YCP; 2A45; 2FFD; 2H43; 2HLO; 2HOD; 2HPC; 2OYH; 2OYI; 2Q9I; 2XNX; 2XNY; 2Z4E; 3AT0; 3BVH; 3E1I; 3GHG; 3H32; 3HUS; 4F27; 5CFA,FGA,FGA,HGNC:3661,Humans,DB00009; DB00015; DB00029; DB11300; DB11311; DB11571; DB11572; DB13151
539,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,177767,M32313,P18405,S5A1_HUMAN,,SRD5A1,SRD5A1,HGNC:11284,Humans,DB00367; DB01126; DB01216; DB09389
542,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,31645,X01677,P04406,G3P_HUMAN,1U8F; 1ZNQ; 3GPD; 4WNC; 4WNI; 6ADE; 6IQ6; 6M61; 6YND; 6YNE; 6YNF; 6YNH; 8DNS; 8G12; 8G13; 8G14; 8G15; 8G16; 8G17; 8P5F,GAPDH,GAPDH,HGNC:4141,Humans,DB09092
546,DNA polymerase alpha catalytic subunit,POLA1,35568,X06745,P09884,DPOLA_HUMAN,1K0P; 1K18; 1N5G; 4Q5V; 4QCL; 4Y97; 5EXR; 5IUD; 6AS7; 7N2M; 7OPL; 7U5C; 8B9D; 8D0B; 8D0K; 8D96; 8D9D; 8QJ7; 8VY3; 9C8V; 9MJ5,POLA1,POLA1,HGNC:9173,Humans,DB00242; DB00631; DB01073; DB01280
548,Fumarate reductase flavoprotein subunit,frdA,145263,J01611,P00363,FRDA_ECOLI,1KF6; 1KFY; 1L0V; 2B76; 3CIR; 3P4P; 3P4Q; 3P4R; 3P4S; 4KX6,,,,Escherichia coli (strain K12),DB00730
552,15-hydroxyprostaglandin dehydrogenase [NAD(+)],HPGD,1203984,L76465,P15428,PGDH_HUMAN,2GDZ; 8CVN; 8CWL; 8FD8,HPGD,HPGD,HGNC:5154,Humans,DB32060
553,Calcium-activated potassium channel subunit alpha-1,KCNMA1,537439,U13913,Q12791,KCMA1_HUMAN,2K44; 3MT5; 3NAF; 6ND0; 6V22; 6V35; 6V38; 6V3G; 6V5A; 7YNZ; 7YO0; 7YO1; 7YO2; 7YO3; 7YO4; 7YO5; 8GH9; 8GHF; 8GHG; 8V60; 8V63; 8V64; 8VAV; 8VAZ; 8Z3S; 9CZH; 9CZJ; 9CZK; 9CZM; 9CZO; 9CZQ; 9D18; 9D19; 9JO3; 9JO4,KCNMA1,KCNMA1,HGNC:6284,Humans,DB00356; DB00436; DB00867; DB00999; DB09089
555,Protein P,P,59427,X69798,Q05486,DPOL_HBVF1,,,,,HBV-F,DB00709; DB01265
556,Atrial natriuretic peptide receptor 1,NPR1,28230,X15357,P16066,ANPRA_HUMAN,8TG9; 8TGA; 9BCL; 9BCN; 9BCO; 9BCP; 9BCQ; 9BCS; 9BCV,NPR1,NPR1,HGNC:7943,Humans,DB00325; DB00883; DB01612; DB01613; DB04899
557,Progesterone receptor,PGR,35652,X51730,P06401,PRGR_HUMAN,1A28; 1E3K; 1SQN; 1SR7; 1ZUC; 2C7A; 2OVH; 2OVM; 2W8Y; 3D90; 3G8O; 3HQ5; 3KBA; 3ZR7; 3ZRA; 3ZRB; 4A2J; 4APU; 4OAR; 5CC0,PGR,PGR,HGNC:8910,Humans,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00603; DB00717; DB00823; DB00834; DB00957; DB01395; DB01406; DB01431; DB02998; DB04787; DB06680; DB06713; DB06730; DB08867; DB09123; DB09124; DB09389; DB11619; DB12941; DB13857; DB14583; DB19378
558,Beta-ketoacyl-[acyl-carrier-protein] synthase III,fabH,145898,M77744,P0A6R0,FABH_ECOLI,1EBL; 1HN9; 1HND; 1HNH; 1HNJ; 1HNK; 1MZS; 2EFT; 2GYO; 3IL9,,,,Escherichia coli (strain K12),DB01034
560,Muscarinic acetylcholine receptor M2,CHRM2,177990,M16404,P08172,ACM2_HUMAN,3UON; 4MQS; 4MQT; 5YC8; 5ZK3; 5ZK8; 5ZKB; 5ZKC; 6OIK; 6U1N; 7T8X; 7T90; 7T94; 7T96; 8J8R; 8J97; 8JAF,CHRM2,CHRM2,HGNC:1951,Humans,DB00332; DB00334; DB00340; DB00366; DB00376; DB00383; DB00387; DB00411; DB00424; DB00462; DB00483; DB00505; DB00508; DB00517; DB00572; DB00725; DB00728; DB00747; DB00767; DB00785; DB00809; DB00986; DB01036; DB01062; DB01069; DB01075; DB01085; DB01148; DB01231; DB01337; DB04834; DB06709; DB08801; DB08897; DB09089; DB09167; DB09262; DB11181; DB11855; DB12278; DB13581; DB15357; DB19325
563,Bifunctional dihydrofolate reductase-thymidylate synthase,,160260,M22159,P13922,DRTS_PLAFK,1J3I; 1J3J; 1J3K; 3DG8; 3DGA,,,,Plasmodium falciparum (isolate K1 / Thailand),DB00205
565,Interleukin-1 receptor type 1,IL1R1,33801,X16896,P14778,IL1R1_HUMAN,1G0Y; 1IRA; 1ITB; 4DEP; 4GAF,IL1R1,IL1R1,HGNC:5993,Humans,DB00026
566,Spermine oxidase,SMOX,14860862,AY033889,Q9NWM0,SMOX_HUMAN,7OXL; 7OY0,SMOX,SMOX,HGNC:15862,Humans,DB00127
567,Guanidinoacetate N-methyltransferase,GAMT,1212946,Z49878,Q14353,GAMT_HUMAN,3ORH,GAMT,GAMT,HGNC:4136,Humans,DB00148; DB13191
568,Glutamate carboxypeptidase 2,FOLH1,190664,M99487,Q04609,FOLH1_HUMAN,1Z8L; 2C6C; 2C6G; 2C6P; 2CIJ; 2JBJ; 2JBK; 2OOT; 2OR4; 2PVV; 2PVW; 2XEF; 2XEG; 2XEI; 2XEJ; 3BHX; 3BI0; 3BI1; 3BXM; 3D7D; 3D7F; 3D7G; 3D7H; 3IWW; 3RBU; 3SJE; 3SJF; 3SJG; 3SJX; 4JYW; 4JZ0; 4LQG; 4MCP; 4MCQ; 4MCR; 4MCS; 4NGM; 4NGN; 4NGP; 4NGQ; 4NGR; 4NGS; 4NGT; 4OC0; 4OC1; 4OC2; 4OC3; 4OC4; 4OC5; 4OME; 4P44; 4P45; 4P4B; 4P4D; 4P4E; 4P4F; 4P4I; 4P4J; 4W9Y; 4X3R; 5D29; 5ELY; 5F09; 5O5R; 5O5T; 5O5U; 5OF0; 6ETY; 6EZ9; 6F5L; 6FE5; 6H7Y; 6H7Z; 6HKJ; 6HKZ; 6RBC; 6RTI; 6S1X; 6SGP; 6SKH; 7BFZ; 8BO8; 8BOL; 8BOW,FOLH1,FOLH1,HGNC:3788,Humans,DB00089; DB14805; DB17851
572,Alpha-2B adrenergic receptor,ADRA2B,178198,M34041,P18089,ADA2B_HUMAN,6K41; 6K42,ADRA2B,ADRA2B,HGNC:282,Humans,DB00193; DB00217; DB00292; DB00368; DB00477; DB00484; DB00575; DB00668; DB00692; DB00697; DB00935; DB01049; DB01069; DB01363; DB01365; DB01392; DB01577; DB04855; DB06262; DB06694; DB06707; DB09167; DB09195; DB09202; DB09205; DB11124; DB11273; DB11278; DB11477; DB13025; DB13345
574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,306865,M11058,P04035,HMDH_HUMAN,1DQ8; 1DQ9; 1DQA; 1HW8; 1HW9; 1HWI; 1HWJ; 1HWK; 1HWL; 2Q1L; 2Q6B; 2Q6C; 2R4F; 3BGL; 3CCT; 3CCW; 3CCZ; 3CD0; 3CD5; 3CD7; 3CDA; 3CDB; 8PKN; 8S6B,HMGCR,HMGCR,HGNC:5006,Humans,DB00175; DB00227; DB00439; DB00641; DB01076; DB01095; DB01098; DB06693; DB08860
575,Alpha-1B adrenergic receptor,ADRA1B,,M99589,P35368,ADA1B_HUMAN,,ADRA1B,ADRA1B,HGNC:278,Humans,DB00211; DB00298; DB00334; DB00346; DB00368; DB00388; DB00457; DB00477; DB00598; DB00668; DB00679; DB00692; DB00696; DB00697; DB00841; DB00925; DB01049; DB01069; DB01136; DB01162; DB01365; DB01622; DB04855; DB06207; DB06262; DB06764; DB09167; DB09195; DB09202; DB09204; DB09205; DB11124; DB11273; DB11278; DB13025; DB13345
576,Penicillin-binding protein 1A,pbpA,18145626,BA000016,Q8XJ01,PBPA_CLOPE,,,,,Clostridium perfringens (strain 13 / Type A),DB00229; DB00267; DB00301; DB00417; DB00447; DB00456; DB00713; DB00833; DB00948; DB01061; DB01066; DB01112; DB01139; DB01604; DB01605; DB04133
577,Squalene monooxygenase,SQLE,2443316,D78130,Q14534,ERG1_HUMAN,6C6N; 6C6P; 6C6R,SQLE,SQLE,HGNC:11279,Humans,DB00735; DB01091; DB08846
581,D(3) dopamine receptor,DRD3,927342,U32499,P35462,DRD3_HUMAN,3PBL; 7CMU; 7CMV; 8IRT; 9F33; 9F34,DRD3,DRD3,HGNC:3024,Humans,DB00268; DB00334; DB00413; DB00477; DB00589; DB00714; DB00988; DB01049; DB01100; DB01184; DB01186; DB01200; DB01235; DB01239; DB01267; DB05271; DB06016; DB06288; DB09014; DB09223; DB11274; DB11275; DB12478; DB13025; DB13345
584,Neuraminidase,NA,60811,X15281,P11485,NRAM_I83A1,,,,,Influenza A virus (strain A/Chile/1/1983 H1N1),DB00198
585,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2,338469,M74047,P31213,S5A2_HUMAN,7BW1,SRD5A2,SRD5A2,HGNC:11285,Humans,DB00548; DB01126; DB01216
588,Penicillin-binding protein 1A,mrcA,581194,X02164,P02918,PBPA_ECOLI,,,,,Escherichia coli (strain K12),DB00274; DB00303; DB00430; DB00438; DB00578; DB00671; DB01000; DB01327; DB01328; DB01329; DB01331; DB01332; DB01333; DB01413; DB01414; DB01415; DB01598; DB01602; DB06211; DB06590; DB09050; DB09062; DB09319; DB09320; DB13028; DB13470; DB13682; DB16335
590,Integrin alpha-4,ITGA4,33946,X16983,P13612,ITA4_HUMAN,3V4P; 3V4V; 4HKC; 5C7Z; 5FPI,ITGA4,ITGA4,HGNC:6140,Humans,DB00108; DB09033
592,Aldo-keto reductase family 1 member C3,AKR1C3,4261711,S68288,P42330,AK1C3_HUMAN,1RY0; 1RY8; 1S1P; 1S1R; 1S2A; 1S2C; 1XF0; 1ZQ5; 2F38; 2FGB; 3R43; 3R58; 3R6I; 3R7M; 3R8G; 3R8H; 3R94; 3UFY; 3UG8; 3UGR; 3UWE; 4DBS; 4DBU; 4DBW; 4DZ5; 4FA3; 4FAL; 4FAM; 4H7C; 4HMN; 4WDT; 4WDU; 4WDW; 4WDX; 4WRH; 4XVD; 4XVE; 4YVV; 4YVX; 4ZFC; 5HNT; 5HNU; 6A7B; 6F2U; 6F78; 6GXK; 7C7F; 7C7G; 7C7H; 7WQM; 7WQR; 7WQS; 7X3L; 7X3M; 7X3O; 8BBS; 8I0C; 8JP1; 8RB6; 9FFD,AKR1C3,AKR1C3,HGNC:386,Humans,DB01536; DB01698; DB02266
594,Envelope glycoprotein GP350,,1334868,V01555,P03200,GP350_EBVB9,,,,,HHV-4,DB00632
595,Flavin reductase (NADPH),BLVRB,1384068,D26308,P30043,BLVRB_HUMAN,1HDO; 1HE2; 1HE3; 1HE4; 1HE5; 5OOG; 5OOH; 6OPL; 7ER6; 7ER7; 7ER8; 7ER9; 7ERA; 7ERB; 7ERC; 7ERD; 7ERE; 8ELL; 8ELM; 8K4K,BLVRB,BLVRB,HGNC:1063,Humans,DB00140
599,ADP/ATP translocase 1,SLC25A4,339920,J02966,P12235,ADT1_HUMAN,,SLC25A4,SLC25A4,HGNC:10990,Humans,DB00720; DB04178
601,Solute carrier family 12 member 4,SLC12A4,1399212,U55054,Q9UP95,S12A4_HUMAN,6KKR; 6KKT; 6KKU; 7AIP; 7AIQ; 7AIR; 7TTH; 7TTI,SLC12A4,SLC12A4,HGNC:10913,Humans,DB00887
610,Prostaglandin F2-alpha receptor,PTGFR,456564,L24470,P43088,PF2R_HUMAN,8IQ4; 8IQ6; 8IUK; 8IUL; 8IUM; 8XJK; 8XJL; 8XJM,PTGFR,PTGFR,HGNC:9600,Humans,DB00287; DB00654; DB00905; DB01160; DB08819
612,"Dihydroorotate dehydrogenase (quinone), mitochondrial",,46362265,CR382398,Q08210,PYRD_PLAF7,1TV5; 3I65; 3I68; 3I6R; 3O8A; 3SFK; 4CQ8; 4CQ9; 4CQA; 4ORM; 4RX0; 5BOO; 5DEL,,,,Plasmodium falciparum (isolate 3D7),DB01117
614,Tyrosine 3-monooxygenase,TH,37127,Y00414,P07101,TY3H_HUMAN,2XSN; 4J6S; 6ZN2; 6ZVP; 6ZZU; 7A2G; 7PIM,TH,TH,HGNC:11782,Humans,DB00120; DB00135; DB00360; DB00765; DB03552; DB04400
619,Potassium-transporting ATPase subunit beta,ATP4B,184105,M75110,P51164,ATP4B_HUMAN,,ATP4B,ATP4B,HGNC:820,Humans,DB05351; DB11739
621,Oxygen-insensitive NADPH nitroreductase,nfsA,609324,U18655,P17117,NFSA_ECOLI,1F5V,,,,Escherichia coli (strain K12),DB00698
622,Aldo-keto reductase family 1 member C2,AKR1C2,531160,U05598,P52895,AK1C2_HUMAN,1IHI; 1J96; 1XJB; 2HDJ; 2IPJ; 4JQ1; 4JQ2; 4JQ3; 4JQ4; 4JQA; 4JTQ; 4JTR; 4L1W; 4L1X; 4XO6; 4XO7,AKR1C2,AKR1C2,HGNC:385,Humans,DB01586
623,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,190742,M31724,P18031,PTN1_HUMAN,1A5Y; 1AAX; 1BZC; 1BZH; 1BZJ; 1C83; 1C84; 1C85; 1C86; 1C87; 1C88; 1ECV; 1EEN; 1EEO; 1G1F; 1G1G; 1G1H; 1G7F; 1G7G; 1GFY; 1I57; 1JF7; 1KAK; 1KAV; 1L8G; 1LQF; 1NL9; 1NNY; 1NO6; 1NWE; 1NWL; 1NZ7; 1OEM; 1OEO; 1OES; 1OET; 1OEU; 1OEV; 1ONY; 1ONZ; 1PA1; 1PH0; 1PTT; 1PTU; 1PTV; 1PTY; 1PXH; 1PYN; 1Q1M; 1Q6J; 1Q6M; 1Q6N; 1Q6P; 1Q6S; 1Q6T; 1QXK; 1SUG; 1T48; 1T49; 1T4J; 1WAX; 1XBO; 2AZR; 2B07; 2B4S; 2BGD; 2BGE; 2CM2; 2CM3; 2CM7; 2CM8; 2CMA; 2CMB; 2CMC; 2CNE; 2CNF; 2CNG; 2CNH; 2CNI; 2F6F; 2F6T; 2F6V; 2F6W; 2F6Y; 2F6Z; 2F70; 2F71; 2FJM; 2FJN; 2H4G; 2H4K; 2HB1; 2HNP; 2HNQ; 2NT7; 2NTA; 2QBP; 2QBQ; 2QBR; 2QBS; 2VEU; 2VEV; 2VEW; 2VEX; 2VEY; 2ZMM; 2ZN7; 3A5J; 3A5K; 3CWE; 3D9C; 3EAX; 3EB1; 3EU0; 3I7Z; 3I80; 3QKP; 3QKQ; 3SME; 3ZMP; 3ZMQ; 3ZV2; 4BJO; 4I8N; 4QAH; 4QAP; 4QBE; 4QBW; 4Y14; 4ZRT; 5K9V; 5K9W; 5KA0; 5KA1; 5KA2; 5KA3; 5KA4; 5KA7; 5KA8; 5KA9; 5KAA; 5KAB; 5KAC; 5KAD; 5QDE; 5QDF; 5QDG; 5QDH; 5QDI; 5QDJ; 5QDK; 5QDL; 5QDM; 5QDN; 5QDO; 5QDP; 5QDQ; 5QDR; 5QDS; 5QDT; 5QDU; 5QDV; 5QDW; 5QDX; 5QDY; 5QDZ; 5QE0; 5QE1; 5QE2; 5QE3; 5QE4; 5QE5; 5QE6; 5QE7; 5QE8; 5QE9; 5QEA; 5QEB; 5QEC; 5QED; 5QEE; 5QEF; 5QEG; 5QEH; 5QEI; 5QEJ; 5QEK; 5QEL; 5QEM; 5QEN; 5QEO; 5QEP; 5QEQ; 5QER; 5QES; 5QET; 5QEU; 5QEV; 5QEW; 5QEX; 5QEY; 5QEZ; 5QF0; 5QF1; 5QF2; 5QF3; 5QF4; 5QF5; 5QF6; 5QF7; 5QF8; 5QF9; 5QFA; 5QFB; 5QFC; 5QFD; 5QFE; 5QFF; 5QFG; 5QFH; 5QFI; 5QFJ; 5QFK; 5QFL; 5QFM; 5QFN; 5QFO; 5QFP; 5QFQ; 5QFR; 5QFS; 5QFT; 5QFU; 5QFV; 5QFW; 5QFX; 5QFY; 5QFZ; 5QG0; 5QG1; 5QG2; 5QG3; 5QG4; 5QG5; 5QG6; 5QG7; 5QG8; 5QG9; 5QGA; 5QGB; 5QGC; 5QGD; 5QGE; 5QGF; 5T19; 6B8E; 6B8T; 6B8X; 6B8Z; 6B90; 6B95; 6BAI; 6CWU; 6CWV; 6NTP; 6OL4; 6OLQ; 6OLV; 6OMY; 6PFW; 6PG0; 6PGT; 6PHA; 6PHS; 6PM8; 6W30; 6XE8; 6XEA; 6XED; 6XEE; 6XEF; 6XEG; 7FQM; 7FQN; 7FQO; 7FQP; 7FQQ; 7FQR; 7FQS; 7FQT; 7FQU; 7FQV; 7FQW; 7FQX; 7FQY; 7FQZ; 7FRE; 7FRF; 7FRG; 7FRH; 7FRI; 7FRJ; 7FRK; 7FRL; 7FRM; 7FRN; 7FRO; 7FRP; 7FRQ; 7FRR; 7FRS; 7FRT; 7FRU; 7GS7; 7GS8; 7GS9; 7GSA; 7GSB; 7GSC; 7GSD; 7GSE; 7GSF; 7GSG; 7GSH; 7GSI; 7GSJ; 7GSK; 7GSL; 7GSM; 7GSN; 7GSO; 7GSQ; 7GSR; 7GST; 7GSU; 7GSV; 7GSW; 7GSX; 7GSY; 7GSZ; 7GT0; 7GT1; 7GT2; 7GT3; 7GT4; 7GT5; 7GT6; 7GT7; 7GT8; 7GT9; 7GTA; 7GTB; 7GTC; 7GTD; 7GTE; 7GTF; 7GTG; 7GTH; 7GTI; 7GTJ; 7GTK; 7GTL; 7GTM; 7GTN; 7GTO; 7GTP; 7GTQ; 7GTR; 7GTS; 7GTT; 7GTU; 7GTV; 7GTW; 7GTX; 7GTY; 7GTZ; 7GU0; 7GU1; 7GU2; 7GU3; 7GU4; 7GU5; 7GU6; 7GU7; 7GU8; 7GU9; 7GUA; 7GUB; 7GUC; 7KEN; 7KEY; 7KLX; 7L0C; 7L0H; 7LFO; 7MKZ; 7MM1; 7MN7; 7MN9; 7MNA; 7MNB; 7MNC; 7MND; 7MNE; 7MNF; 7MOU; 7MOV; 7MOW; 7RIN; 7S4F; 8DU7; 8EXI; 8EXJ; 8EXK; 8EXM; 8EXN; 8EYA; 8EYB; 8EYC; 8F88; 8G65; 8G67; 8G68; 8G69; 8G6A; 8SKL; 8U1E; 8XOY; 9C66; 9CYO; 9CYP; 9CYQ; 9CYR,PTPN1,PTPN1,HGNC:9642,Humans,DB01734; DB02622; DB02662; DB04001; DB06521; DB08003; DB08371; DB08593
624,ADP/ATP translocase 3,SLC25A6,339723,J03592,P12236,ADT3_HUMAN,,SLC25A6,SLC25A6,HGNC:10992,Humans,DB00720
625,Growth hormone-releasing hormone receptor,GHRHR,183173,L01406,Q02643,GHRHR_HUMAN,2XDG; 7CZ5,GHRHR,GHRHR,HGNC:4266,Humans,DB00010; DB08869
627,"3',5'-cyclic-AMP phosphodiesterase 7B",PDE7B,8439497,AB038040,Q9NP56,PDE7B_HUMAN,,PDE7B,PDE7B,HGNC:8792,Humans,DB09283
628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,32089,X17648,P15509,CSF2R_HUMAN,4NKQ; 4RS1,CSF2RA,CSF2RA,HGNC:2435,Humans,DB00020; DB10772
629,Hemoglobin subunit beta,HBB,455997,U01317,P68871,HBB_HUMAN,1A00; 1A01; 1A0U; 1A0Z; 1A3N; 1A3O; 1ABW; 1ABY; 1AJ9; 1B86; 1BAB; 1BBB; 1BIJ; 1BUW; 1BZ0; 1BZ1; 1BZZ; 1C7B; 1C7C; 1C7D; 1CBL; 1CBM; 1CH4; 1CLS; 1CMY; 1COH; 1DKE; 1DXT; 1DXU; 1DXV; 1FN3; 1G9V; 1GBU; 1GBV; 1GLI; 1GZX; 1HAB; 1HAC; 1HBA; 1HBB; 1HBS; 1HCO; 1HDB; 1HGA; 1HGB; 1HGC; 1HHO; 1IRD; 1J3Y; 1J3Z; 1J40; 1J41; 1J7S; 1J7W; 1J7Y; 1JY7; 1K0Y; 1K1K; 1KD2; 1LFL; 1LFQ; 1LFT; 1LFV; 1LFY; 1LFZ; 1LJW; 1M9P; 1MKO; 1NEJ; 1NIH; 1NQP; 1O1I; 1O1J; 1O1K; 1O1L; 1O1M; 1O1N; 1O1O; 1O1P; 1QI8; 1QSH; 1QSI; 1QXD; 1QXE; 1R1X; 1R1Y; 1RPS; 1RQ3; 1RQ4; 1RQA; 1RVW; 1SDK; 1SDL; 1THB; 1UIW; 1VWT; 1XXT; 1XY0; 1XYE; 1XZ2; 1XZ4; 1XZ5; 1XZ7; 1XZU; 1XZV; 1Y09; 1Y0A; 1Y0C; 1Y0D; 1Y0T; 1Y0W; 1Y22; 1Y2Z; 1Y31; 1Y35; 1Y45; 1Y46; 1Y4B; 1Y4F; 1Y4G; 1Y4P; 1Y4Q; 1Y4R; 1Y4V; 1Y5F; 1Y5J; 1Y5K; 1Y7C; 1Y7D; 1Y7G; 1Y7Z; 1Y83; 1Y85; 1Y8W; 1YDZ; 1YE0; 1YE1; 1YE2; 1YEN; 1YEO; 1YEQ; 1YEU; 1YEV; 1YFF; 1YG5; 1YGD; 1YGF; 1YH9; 1YHE; 1YHR; 1YIE; 1YIH; 1YVQ; 1YVT; 1YZI; 2D5Z; 2D60; 2DN1; 2DN2; 2DN3; 2DXM; 2H35; 2HBC; 2HBD; 2HBE; 2HBF; 2HBS; 2HCO; 2HHB; 2HHD; 2HHE; 2M6Z; 2W6V; 2W72; 2YRS; 3B75; 3D17; 3D7O; 3DUT; 3HHB; 3HXN; 3IC0; 3IC2; 3KMF; 3NL7; 3NMM; 3ODQ; 3ONZ; 3OO4; 3OO5; 3P5Q; 3QJB; 3QJC; 3QJD; 3QJE; 3R5I; 3S65; 3S66; 3SZK; 3W4U; 3WCP; 3WHM; 4FC3; 4HHB; 4IJ2; 4L7Y; 4M4A; 4M4B; 4MQC; 4MQG; 4MQH; 4MQI; 4N7N; 4N7O; 4N7P; 4N8T; 4NI0; 4NI1; 4ROL; 4ROM; 4WJG; 4X0L; 4XS0; 5E29; 5E6E; 5E83; 5EE4; 5HU6; 5HY8; 5JDO; 5KDQ; 5KSI; 5KSJ; 5NI1; 5SW7; 5U3I; 5UCU; 5UFJ; 5URC; 5VMM; 5WOG; 5WOH; 5X2R; 5X2S; 5X2T; 5X2U; 6BB5; 6BNR; 6BWP; 6BWU; 6DI4; 6FQF; 6HAL; 6HBW; 6HK2; 6KA9; 6KAE; 6KAH; 6KAI; 6KAO; 6KAP; 6KAQ; 6KAR; 6KAS; 6KAT; 6KAU; 6KAV; 6KYE; 6L5V; 6L5W; 6L5X; 6L5Y; 6LCW; 6LCX; 6NBC; 6NBD; 6NQ5; 6TB2; 6XD9; 6XDT; 6XE7; 7AET; 7AEU; 7AEV; 7CUE; 7DY3; 7DY4; 7JJQ; 7JXZ; 7JY0; 7JY1; 7JY3; 7K4M; 7PCF; 7PCH; 7PCQ; 7UD7; 7UD8; 7UF6; 7UF7; 7UVB; 7VDE; 7XGY; 8DOV; 8EGI; 8FDK; 8FDL; 8FDM; 8FDN; 8VYL; 8WJ0; 8WJ1; 8WJ2; 8WXZ; 8XMP; 8XMQ; 8XMW; 9AV9; 9AYZ; 9BCJ; 9FHB; 9FMU; 9FNO,HBB,HBB,HGNC:4827,Humans,DB00893; DB06154; DB09112; DB09147; DB09517; DB13995
630,Matrix protein 2,M,324265,M23978,P21430,M2_I60A0,,,,,Influenza A virus (strain A/Ann Arbor/6/1960 H2N2),DB00478; DB00915
